"full_location","island","site","transect","top_color","bowl_color","orders","number_of_insects","dateout","datecoll","duration","order_abrev"
"Guam_Anao_L1","guam","anao","L1","b","y","other",0,2018-01-12,2018-01-15,3,"other"
"Guam_Anao_L1","guam","anao","L1","y","w","Hemiptera",0,2018-01-12,2018-01-15,3,"Hemip"
"Guam_Anao_L1","guam","anao","L1","y","w","Coleoptera",0,2018-01-12,2018-01-15,3,"Coleo"
"Guam_Anao_L1","guam","anao","L1","y","w","Apoidea",0,2018-01-12,2018-01-15,3,"Apoid"
"Guam_Anao_L1","guam","anao","L1","y","w","Lepidoptera",0,2018-01-12,2018-01-15,3,"Lepid"
"Guam_Anao_L1","guam","anao","L1","y","w","Blattodea",0,2018-01-12,2018-01-15,3,"Blatt"
"Guam_Anao_L1","guam","anao","L1","y","w","Araneae",0,2018-01-12,2018-01-15,3,"Arane"
"Guam_Anao_L1","guam","anao","L1","y","w","Isoptera",0,2018-01-12,2018-01-15,3,"Isopt"
"Guam_Anao_L1","guam","anao","L1","y","w","partial",0,2018-01-12,2018-01-15,3,"parti"
"Guam_Anao_L1","guam","anao","L1","y","w","Trichoptera",0,2018-01-12,2018-01-15,3,"Trich"
"Guam_Anao_L1","guam","anao","L1","y","w","other",0,2018-01-12,2018-01-15,3,"other"
"Guam_Anao_L1","guam","anao","L1","y","b","Diptera",0,2018-01-12,2018-01-15,3,"Dipte"
"Guam_Anao_L1","guam","anao","L1","y","b","Hemiptera",0,2018-01-12,2018-01-15,3,"Hemip"
"Guam_Anao_L1","guam","anao","L1","y","b","Coleoptera",0,2018-01-12,2018-01-15,3,"Coleo"
"Guam_Anao_L1","guam","anao","L1","y","b","Apoidea",0,2018-01-12,2018-01-15,3,"Apoid"
"Guam_Anao_L1","guam","anao","L1","y","b","Crabronidae",0,2018-01-12,2018-01-15,3,"Crabr"
"Guam_Anao_L1","guam","anao","L1","y","b","Lepidoptera",0,2018-01-12,2018-01-15,3,"Lepid"
"Guam_Anao_L1","guam","anao","L1","y","b","Blattodea",0,2018-01-12,2018-01-15,3,"Blatt"
"Guam_Anao_L1","guam","anao","L1","y","b","Araneae",0,2018-01-12,2018-01-15,3,"Arane"
"Guam_Anao_L1","guam","anao","L1","y","b","Isoptera",0,2018-01-12,2018-01-15,3,"Isopt"
"Guam_Anao_L1","guam","anao","L1","y","b","partial",0,2018-01-12,2018-01-15,3,"parti"
"Guam_Anao_L1","guam","anao","L1","y","b","Trichoptera",0,2018-01-12,2018-01-15,3,"Trich"
"Guam_Anao_L1","guam","anao","L1","y","b","other",0,2018-01-12,2018-01-15,3,"other"
"Guam_Anao_L1","guam","anao","L1","y","r","Diptera",0,2018-01-12,2018-01-15,3,"Dipte"
"Guam_Anao_L1","guam","anao","L1","y","r","Hemiptera",0,2018-01-12,2018-01-15,3,"Hemip"
"Guam_Anao_L1","guam","anao","L1","y","r","Apoidea",0,2018-01-12,2018-01-15,3,"Apoid"
"Guam_Anao_L1","guam","anao","L1","y","r","Crabronidae",0,2018-01-12,2018-01-15,3,"Crabr"
"Guam_Anao_L1","guam","anao","L1","y","r","Lepidoptera",0,2018-01-12,2018-01-15,3,"Lepid"
"Guam_Anao_L1","guam","anao","L1","y","r","Blattodea",0,2018-01-12,2018-01-15,3,"Blatt"
"Guam_Anao_L1","guam","anao","L1","y","r","Araneae",0,2018-01-12,2018-01-15,3,"Arane"
"Guam_Anao_L1","guam","anao","L1","y","r","Isoptera",0,2018-01-12,2018-01-15,3,"Isopt"
"Guam_Anao_L1","guam","anao","L1","y","r","partial",0,2018-01-12,2018-01-15,3,"parti"
"Guam_Anao_L1","guam","anao","L1","y","r","Trichoptera",0,2018-01-12,2018-01-15,3,"Trich"
"Guam_Anao_L1","guam","anao","L1","y","r","other",0,2018-01-12,2018-01-15,3,"other"
"Guam_Anao_L1","guam","anao","L1","w","b","Diptera",0,2018-01-12,2018-01-15,3,"Dipte"
"Guam_Anao_L1","guam","anao","L1","w","b","Hemiptera",0,2018-01-12,2018-01-15,3,"Hemip"
"Guam_Anao_L1","guam","anao","L1","w","b","Coleoptera",0,2018-01-12,2018-01-15,3,"Coleo"
"Guam_Anao_L1","guam","anao","L1","w","b","Formicidae",0,2018-01-12,2018-01-15,3,"Formi"
"Guam_Anao_L1","guam","anao","L1","w","b","Apoidea",0,2018-01-12,2018-01-15,3,"Apoid"
"Guam_Anao_L1","guam","anao","L1","w","b","Crabronidae",0,2018-01-12,2018-01-15,3,"Crabr"
"Guam_Anao_L1","guam","anao","L1","w","b","Lepidoptera",0,2018-01-12,2018-01-15,3,"Lepid"
"Guam_Anao_L1","guam","anao","L1","w","b","Blattodea",0,2018-01-12,2018-01-15,3,"Blatt"
"Guam_Anao_L1","guam","anao","L1","w","b","Araneae",0,2018-01-12,2018-01-15,3,"Arane"
"Guam_Anao_L1","guam","anao","L1","w","b","Isoptera",0,2018-01-12,2018-01-15,3,"Isopt"
"Guam_Anao_L1","guam","anao","L1","w","b","partial",0,2018-01-12,2018-01-15,3,"parti"
"Guam_Anao_L1","guam","anao","L1","w","b","Trichoptera",0,2018-01-12,2018-01-15,3,"Trich"
"Guam_Anao_L1","guam","anao","L1","w","b","other",0,2018-01-12,2018-01-15,3,"other"
"Guam_Anao_L1","guam","anao","L1","r","b","Hemiptera",0,2018-01-12,2018-01-15,3,"Hemip"
"Guam_Anao_L1","guam","anao","L1","r","b","Coleoptera",0,2018-01-12,2018-01-15,3,"Coleo"
"Guam_Anao_L1","guam","anao","L1","r","b","Apoidea",0,2018-01-12,2018-01-15,3,"Apoid"
"Guam_Anao_L1","guam","anao","L1","r","b","Blattodea",0,2018-01-12,2018-01-15,3,"Blatt"
"Guam_Anao_L1","guam","anao","L1","r","b","Araneae",0,2018-01-12,2018-01-15,3,"Arane"
"Guam_Anao_L1","guam","anao","L1","r","b","Isoptera",0,2018-01-12,2018-01-15,3,"Isopt"
"Guam_Anao_L1","guam","anao","L1","r","b","partial",0,2018-01-12,2018-01-15,3,"parti"
"Guam_Anao_L1","guam","anao","L1","r","b","Trichoptera",0,2018-01-12,2018-01-15,3,"Trich"
"Guam_Anao_L1","guam","anao","L1","r","b","other",0,2018-01-12,2018-01-15,3,"other"
"Guam_Anao_L1","guam","anao","L1","w","y","Diptera",0,2018-01-12,2018-01-15,3,"Dipte"
"Guam_Anao_L1","guam","anao","L1","w","y","Hemiptera",0,2018-01-12,2018-01-15,3,"Hemip"
"Guam_Anao_L1","guam","anao","L1","w","y","Coleoptera",0,2018-01-12,2018-01-15,3,"Coleo"
"Guam_Anao_L1","guam","anao","L1","w","y","Apoidea",0,2018-01-12,2018-01-15,3,"Apoid"
"Guam_Anao_L1","guam","anao","L1","w","y","Lepidoptera",0,2018-01-12,2018-01-15,3,"Lepid"
"Guam_Anao_L1","guam","anao","L1","w","y","Blattodea",0,2018-01-12,2018-01-15,3,"Blatt"
"Guam_Anao_L1","guam","anao","L1","w","y","Araneae",0,2018-01-12,2018-01-15,3,"Arane"
"Guam_Anao_L1","guam","anao","L1","w","y","Isoptera",0,2018-01-12,2018-01-15,3,"Isopt"
"Guam_Anao_L1","guam","anao","L1","w","y","partial",0,2018-01-12,2018-01-15,3,"parti"
"Guam_Anao_L1","guam","anao","L1","w","y","Trichoptera",0,2018-01-12,2018-01-15,3,"Trich"
"Guam_Anao_L1","guam","anao","L1","w","y","other",0,2018-01-12,2018-01-15,3,"other"
"Guam_Anao_L1","guam","anao","L1","r","w","Hemiptera",0,2018-01-12,2018-01-15,3,"Hemip"
"Guam_Anao_L1","guam","anao","L1","r","w","Coleoptera",0,2018-01-12,2018-01-15,3,"Coleo"
"Guam_Anao_L1","guam","anao","L1","r","w","Apoidea",0,2018-01-12,2018-01-15,3,"Apoid"
"Guam_Anao_L1","guam","anao","L1","r","w","Crabronidae",0,2018-01-12,2018-01-15,3,"Crabr"
"Guam_Anao_L1","guam","anao","L1","r","w","Lepidoptera",0,2018-01-12,2018-01-15,3,"Lepid"
"Guam_Anao_L1","guam","anao","L1","r","w","Blattodea",0,2018-01-12,2018-01-15,3,"Blatt"
"Guam_Anao_L1","guam","anao","L1","r","w","Araneae",0,2018-01-12,2018-01-15,3,"Arane"
"Guam_Anao_L1","guam","anao","L1","r","w","Isoptera",0,2018-01-12,2018-01-15,3,"Isopt"
"Guam_Anao_L1","guam","anao","L1","r","w","partial",0,2018-01-12,2018-01-15,3,"parti"
"Guam_Anao_L1","guam","anao","L1","r","w","Trichoptera",0,2018-01-12,2018-01-15,3,"Trich"
"Guam_Anao_L1","guam","anao","L1","r","w","other",0,2018-01-12,2018-01-15,3,"other"
"Guam_Anao_L1","guam","anao","L1","b","b","Diptera",0,2018-01-12,2018-01-15,3,"Dipte"
"Guam_Anao_L1","guam","anao","L1","b","b","Hemiptera",0,2018-01-12,2018-01-15,3,"Hemip"
"Guam_Anao_L1","guam","anao","L1","b","b","Apoidea",0,2018-01-12,2018-01-15,3,"Apoid"
"Guam_Anao_L1","guam","anao","L1","b","b","Crabronidae",0,2018-01-12,2018-01-15,3,"Crabr"
"Guam_Anao_L1","guam","anao","L1","b","b","Lepidoptera",0,2018-01-12,2018-01-15,3,"Lepid"
"Guam_Anao_L1","guam","anao","L1","b","b","Blattodea",0,2018-01-12,2018-01-15,3,"Blatt"
"Guam_Anao_L1","guam","anao","L1","b","b","Araneae",0,2018-01-12,2018-01-15,3,"Arane"
"Guam_Anao_L1","guam","anao","L1","b","b","Isoptera",0,2018-01-12,2018-01-15,3,"Isopt"
"Guam_Anao_L1","guam","anao","L1","b","b","partial",0,2018-01-12,2018-01-15,3,"parti"
"Guam_Anao_L1","guam","anao","L1","b","b","Trichoptera",0,2018-01-12,2018-01-15,3,"Trich"
"Guam_Anao_L1","guam","anao","L1","b","b","other",0,2018-01-12,2018-01-15,3,"other"
"Guam_Anao_L1","guam","anao","L1","b","r","Hemiptera",0,2018-01-12,2018-01-15,3,"Hemip"
"Guam_Anao_L1","guam","anao","L1","b","r","Apoidea",0,2018-01-12,2018-01-15,3,"Apoid"
"Guam_Anao_L1","guam","anao","L1","b","r","Crabronidae",0,2018-01-12,2018-01-15,3,"Crabr"
"Guam_Anao_L1","guam","anao","L1","b","r","Lepidoptera",0,2018-01-12,2018-01-15,3,"Lepid"
"Guam_Anao_L1","guam","anao","L1","b","r","Blattodea",0,2018-01-12,2018-01-15,3,"Blatt"
"Guam_Anao_L1","guam","anao","L1","b","r","Araneae",0,2018-01-12,2018-01-15,3,"Arane"
"Guam_Anao_L1","guam","anao","L1","b","r","partial",0,2018-01-12,2018-01-15,3,"parti"
"Guam_Anao_L1","guam","anao","L1","b","r","Trichoptera",0,2018-01-12,2018-01-15,3,"Trich"
"Guam_Anao_L1","guam","anao","L1","b","r","other",0,2018-01-12,2018-01-15,3,"other"
"Guam_Anao_L1","guam","anao","L1","b","w","Diptera",0,2018-01-12,2018-01-15,3,"Dipte"
"Guam_Anao_L1","guam","anao","L1","b","w","Hemiptera",0,2018-01-12,2018-01-15,3,"Hemip"
"Guam_Anao_L1","guam","anao","L1","b","w","Coleoptera",0,2018-01-12,2018-01-15,3,"Coleo"
"Guam_Anao_L1","guam","anao","L1","b","w","Formicidae",0,2018-01-12,2018-01-15,3,"Formi"
"Guam_Anao_L1","guam","anao","L1","b","w","Apoidea",0,2018-01-12,2018-01-15,3,"Apoid"
"Guam_Anao_L1","guam","anao","L1","b","w","Crabronidae",0,2018-01-12,2018-01-15,3,"Crabr"
"Guam_Anao_L1","guam","anao","L1","b","w","Lepidoptera",0,2018-01-12,2018-01-15,3,"Lepid"
"Guam_Anao_L1","guam","anao","L1","b","w","Blattodea",0,2018-01-12,2018-01-15,3,"Blatt"
"Guam_Anao_L1","guam","anao","L1","b","w","Araneae",0,2018-01-12,2018-01-15,3,"Arane"
"Guam_Anao_L1","guam","anao","L1","b","w","Isoptera",0,2018-01-12,2018-01-15,3,"Isopt"
"Guam_Anao_L1","guam","anao","L1","b","w","partial",0,2018-01-12,2018-01-15,3,"parti"
"Guam_Anao_L1","guam","anao","L1","b","w","Trichoptera",0,2018-01-12,2018-01-15,3,"Trich"
"Guam_Anao_L1","guam","anao","L1","b","w","other",0,2018-01-12,2018-01-15,3,"other"
"Guam_Anao_L1","guam","anao","L1","y","y","Diptera",0,2018-01-12,2018-01-15,3,"Dipte"
"Guam_Anao_L1","guam","anao","L1","y","y","Hemiptera",0,2018-01-12,2018-01-15,3,"Hemip"
"Guam_Anao_L1","guam","anao","L1","y","y","Apoidea",0,2018-01-12,2018-01-15,3,"Apoid"
"Guam_Anao_L1","guam","anao","L1","y","y","Crabronidae",0,2018-01-12,2018-01-15,3,"Crabr"
"Guam_Anao_L1","guam","anao","L1","y","y","Lepidoptera",0,2018-01-12,2018-01-15,3,"Lepid"
"Guam_Anao_L1","guam","anao","L1","y","y","Blattodea",0,2018-01-12,2018-01-15,3,"Blatt"
"Guam_Anao_L1","guam","anao","L1","y","y","Araneae",0,2018-01-12,2018-01-15,3,"Arane"
"Guam_Anao_L1","guam","anao","L1","y","y","Isoptera",0,2018-01-12,2018-01-15,3,"Isopt"
"Guam_Anao_L1","guam","anao","L1","y","y","partial",0,2018-01-12,2018-01-15,3,"parti"
"Guam_Anao_L1","guam","anao","L1","y","y","Trichoptera",0,2018-01-12,2018-01-15,3,"Trich"
"Guam_Anao_L1","guam","anao","L1","y","y","other",0,2018-01-12,2018-01-15,3,"other"
"Guam_Anao_L1","guam","anao","L1","w","w","Hemiptera",0,2018-01-12,2018-01-15,3,"Hemip"
"Guam_Anao_L1","guam","anao","L1","w","w","Coleoptera",0,2018-01-12,2018-01-15,3,"Coleo"
"Guam_Anao_L1","guam","anao","L1","w","w","Crabronidae",0,2018-01-12,2018-01-15,3,"Crabr"
"Guam_Anao_L1","guam","anao","L1","w","w","Blattodea",0,2018-01-12,2018-01-15,3,"Blatt"
"Guam_Anao_L1","guam","anao","L1","w","w","Araneae",0,2018-01-12,2018-01-15,3,"Arane"
"Guam_Anao_L1","guam","anao","L1","w","w","Isoptera",0,2018-01-12,2018-01-15,3,"Isopt"
"Guam_Anao_L1","guam","anao","L1","w","w","partial",0,2018-01-12,2018-01-15,3,"parti"
"Guam_Anao_L1","guam","anao","L1","w","w","Trichoptera",0,2018-01-12,2018-01-15,3,"Trich"
"Guam_Anao_L1","guam","anao","L1","w","w","other",0,2018-01-12,2018-01-15,3,"other"
"Guam_Anao_L1","guam","anao","L1","w","r","Hemiptera",0,2018-01-12,2018-01-15,3,"Hemip"
"Guam_Anao_L1","guam","anao","L1","w","r","Coleoptera",0,2018-01-12,2018-01-15,3,"Coleo"
"Guam_Anao_L1","guam","anao","L1","w","r","Apoidea",0,2018-01-12,2018-01-15,3,"Apoid"
"Guam_Anao_L1","guam","anao","L1","w","r","Lepidoptera",0,2018-01-12,2018-01-15,3,"Lepid"
"Guam_Anao_L1","guam","anao","L1","w","r","Blattodea",0,2018-01-12,2018-01-15,3,"Blatt"
"Guam_Anao_L1","guam","anao","L1","w","r","Araneae",0,2018-01-12,2018-01-15,3,"Arane"
"Guam_Anao_L1","guam","anao","L1","w","r","Isoptera",0,2018-01-12,2018-01-15,3,"Isopt"
"Guam_Anao_L1","guam","anao","L1","w","r","partial",0,2018-01-12,2018-01-15,3,"parti"
"Guam_Anao_L1","guam","anao","L1","w","r","Trichoptera",0,2018-01-12,2018-01-15,3,"Trich"
"Guam_Anao_L1","guam","anao","L1","w","r","other",0,2018-01-12,2018-01-15,3,"other"
"Guam_Anao_L1","guam","anao","L1","r","r","Hemiptera",0,2018-01-12,2018-01-15,3,"Hemip"
"Guam_Anao_L1","guam","anao","L1","r","r","Crabronidae",0,2018-01-12,2018-01-15,3,"Crabr"
"Guam_Anao_L1","guam","anao","L1","r","r","Blattodea",0,2018-01-12,2018-01-15,3,"Blatt"
"Guam_Anao_L1","guam","anao","L1","r","r","Isoptera",0,2018-01-12,2018-01-15,3,"Isopt"
"Guam_Anao_L1","guam","anao","L1","r","r","partial",0,2018-01-12,2018-01-15,3,"parti"
"Guam_Anao_L1","guam","anao","L1","r","r","Trichoptera",0,2018-01-12,2018-01-15,3,"Trich"
"Guam_Anao_L1","guam","anao","L1","r","r","other",0,2018-01-12,2018-01-15,3,"other"
"Guam_Anao_L1","guam","anao","L1","r","y","Hemiptera",0,2018-01-12,2018-01-15,3,"Hemip"
"Guam_Anao_L1","guam","anao","L1","r","y","Coleoptera",0,2018-01-12,2018-01-15,3,"Coleo"
"Guam_Anao_L1","guam","anao","L1","r","y","Apoidea",0,2018-01-12,2018-01-15,3,"Apoid"
"Guam_Anao_L1","guam","anao","L1","r","y","Blattodea",0,2018-01-12,2018-01-15,3,"Blatt"
"Guam_Anao_L1","guam","anao","L1","r","y","Araneae",0,2018-01-12,2018-01-15,3,"Arane"
"Guam_Anao_L1","guam","anao","L1","r","y","Isoptera",0,2018-01-12,2018-01-15,3,"Isopt"
"Guam_Anao_L1","guam","anao","L1","r","y","partial",0,2018-01-12,2018-01-15,3,"parti"
"Guam_Anao_L1","guam","anao","L1","r","y","Trichoptera",0,2018-01-12,2018-01-15,3,"Trich"
"Guam_Anao_L1","guam","anao","L1","r","y","other",0,2018-01-12,2018-01-15,3,"other"
"Guam_Anao_L2","guam","anao","L2","b","y","Diptera",0,2018-01-12,2018-01-15,3,"Dipte"
"Guam_Anao_L2","guam","anao","L2","b","y","Hemiptera",0,2018-01-12,2018-01-15,3,"Hemip"
"Guam_Anao_L2","guam","anao","L2","b","y","Coleoptera",0,2018-01-12,2018-01-15,3,"Coleo"
"Guam_Anao_L2","guam","anao","L2","b","y","Apoidea",0,2018-01-12,2018-01-15,3,"Apoid"
"Guam_Anao_L2","guam","anao","L2","b","y","Crabronidae",0,2018-01-12,2018-01-15,3,"Crabr"
"Guam_Anao_L2","guam","anao","L2","b","y","Lepidoptera",0,2018-01-12,2018-01-15,3,"Lepid"
"Guam_Anao_L2","guam","anao","L2","b","y","Blattodea",0,2018-01-12,2018-01-15,3,"Blatt"
"Guam_Anao_L2","guam","anao","L2","b","y","Isoptera",0,2018-01-12,2018-01-15,3,"Isopt"
"Guam_Anao_L2","guam","anao","L2","b","y","partial",0,2018-01-12,2018-01-15,3,"parti"
"Guam_Anao_L2","guam","anao","L2","b","y","Trichoptera",0,2018-01-12,2018-01-15,3,"Trich"
"Guam_Anao_L2","guam","anao","L2","b","y","other",0,2018-01-12,2018-01-15,3,"other"
"Guam_Anao_L2","guam","anao","L2","b","b","Diptera",0,2018-01-12,2018-01-15,3,"Dipte"
"Guam_Anao_L2","guam","anao","L2","b","b","Hemiptera",0,2018-01-12,2018-01-15,3,"Hemip"
"Guam_Anao_L2","guam","anao","L2","b","b","Coleoptera",0,2018-01-12,2018-01-15,3,"Coleo"
"Guam_Anao_L2","guam","anao","L2","b","b","Apoidea",0,2018-01-12,2018-01-15,3,"Apoid"
"Guam_Anao_L2","guam","anao","L2","b","b","Lepidoptera",0,2018-01-12,2018-01-15,3,"Lepid"
"Guam_Anao_L2","guam","anao","L2","b","b","Blattodea",0,2018-01-12,2018-01-15,3,"Blatt"
"Guam_Anao_L2","guam","anao","L2","b","b","Araneae",0,2018-01-12,2018-01-15,3,"Arane"
"Guam_Anao_L2","guam","anao","L2","b","b","partial",0,2018-01-12,2018-01-15,3,"parti"
"Guam_Anao_L2","guam","anao","L2","b","b","other",0,2018-01-12,2018-01-15,3,"other"
"Guam_Anao_L2","guam","anao","L2","r","b","Diptera",0,2018-01-12,2018-01-15,3,"Dipte"
"Guam_Anao_L2","guam","anao","L2","r","b","Hemiptera",0,2018-01-12,2018-01-15,3,"Hemip"
"Guam_Anao_L2","guam","anao","L2","r","b","Coleoptera",0,2018-01-12,2018-01-15,3,"Coleo"
"Guam_Anao_L2","guam","anao","L2","r","b","Formicidae",0,2018-01-12,2018-01-15,3,"Formi"
"Guam_Anao_L2","guam","anao","L2","r","b","Apoidea",0,2018-01-12,2018-01-15,3,"Apoid"
"Guam_Anao_L2","guam","anao","L2","r","b","Crabronidae",0,2018-01-12,2018-01-15,3,"Crabr"
"Guam_Anao_L2","guam","anao","L2","r","b","Lepidoptera",0,2018-01-12,2018-01-15,3,"Lepid"
"Guam_Anao_L2","guam","anao","L2","r","b","Blattodea",0,2018-01-12,2018-01-15,3,"Blatt"
"Guam_Anao_L2","guam","anao","L2","r","b","Araneae",0,2018-01-12,2018-01-15,3,"Arane"
"Guam_Anao_L2","guam","anao","L2","r","b","Isoptera",0,2018-01-12,2018-01-15,3,"Isopt"
"Guam_Anao_L2","guam","anao","L2","r","b","partial",0,2018-01-12,2018-01-15,3,"parti"
"Guam_Anao_L2","guam","anao","L2","r","b","Trichoptera",0,2018-01-12,2018-01-15,3,"Trich"
"Guam_Anao_L2","guam","anao","L2","r","b","other",0,2018-01-12,2018-01-15,3,"other"
"Guam_Anao_L2","guam","anao","L2","y","y","Diptera",0,2018-01-12,2018-01-15,3,"Dipte"
"Guam_Anao_L2","guam","anao","L2","y","y","Hemiptera",0,2018-01-12,2018-01-15,3,"Hemip"
"Guam_Anao_L2","guam","anao","L2","y","y","Coleoptera",0,2018-01-12,2018-01-15,3,"Coleo"
"Guam_Anao_L2","guam","anao","L2","y","y","Apoidea",0,2018-01-12,2018-01-15,3,"Apoid"
"Guam_Anao_L2","guam","anao","L2","y","y","Crabronidae",0,2018-01-12,2018-01-15,3,"Crabr"
"Guam_Anao_L2","guam","anao","L2","y","y","Blattodea",0,2018-01-12,2018-01-15,3,"Blatt"
"Guam_Anao_L2","guam","anao","L2","y","y","Araneae",0,2018-01-12,2018-01-15,3,"Arane"
"Guam_Anao_L2","guam","anao","L2","y","y","Isoptera",0,2018-01-12,2018-01-15,3,"Isopt"
"Guam_Anao_L2","guam","anao","L2","y","y","partial",0,2018-01-12,2018-01-15,3,"parti"
"Guam_Anao_L2","guam","anao","L2","y","y","Trichoptera",0,2018-01-12,2018-01-15,3,"Trich"
"Guam_Anao_L2","guam","anao","L2","y","y","other",0,2018-01-12,2018-01-15,3,"other"
"Guam_Anao_L2","guam","anao","L2","b","r","Diptera",0,2018-01-12,2018-01-15,3,"Dipte"
"Guam_Anao_L2","guam","anao","L2","b","r","Hemiptera",0,2018-01-12,2018-01-15,3,"Hemip"
"Guam_Anao_L2","guam","anao","L2","b","r","Coleoptera",0,2018-01-12,2018-01-15,3,"Coleo"
"Guam_Anao_L2","guam","anao","L2","b","r","Apoidea",0,2018-01-12,2018-01-15,3,"Apoid"
"Guam_Anao_L2","guam","anao","L2","b","r","Crabronidae",0,2018-01-12,2018-01-15,3,"Crabr"
"Guam_Anao_L2","guam","anao","L2","b","r","Lepidoptera",0,2018-01-12,2018-01-15,3,"Lepid"
"Guam_Anao_L2","guam","anao","L2","b","r","Blattodea",0,2018-01-12,2018-01-15,3,"Blatt"
"Guam_Anao_L2","guam","anao","L2","b","r","Araneae",0,2018-01-12,2018-01-15,3,"Arane"
"Guam_Anao_L2","guam","anao","L2","b","r","Isoptera",0,2018-01-12,2018-01-15,3,"Isopt"
"Guam_Anao_L2","guam","anao","L2","b","r","partial",0,2018-01-12,2018-01-15,3,"parti"
"Guam_Anao_L2","guam","anao","L2","b","r","Trichoptera",0,2018-01-12,2018-01-15,3,"Trich"
"Guam_Anao_L2","guam","anao","L2","b","r","other",0,2018-01-12,2018-01-15,3,"other"
"Guam_Anao_L2","guam","anao","L2","r","w","Diptera",0,2018-01-12,2018-01-15,3,"Dipte"
"Guam_Anao_L2","guam","anao","L2","r","w","Hemiptera",0,2018-01-12,2018-01-15,3,"Hemip"
"Guam_Anao_L2","guam","anao","L2","r","w","Formicidae",0,2018-01-12,2018-01-15,3,"Formi"
"Guam_Anao_L2","guam","anao","L2","r","w","Apoidea",0,2018-01-12,2018-01-15,3,"Apoid"
"Guam_Anao_L2","guam","anao","L2","r","w","Crabronidae",0,2018-01-12,2018-01-15,3,"Crabr"
"Guam_Anao_L2","guam","anao","L2","r","w","Lepidoptera",0,2018-01-12,2018-01-15,3,"Lepid"
"Guam_Anao_L2","guam","anao","L2","r","w","Blattodea",0,2018-01-12,2018-01-15,3,"Blatt"
"Guam_Anao_L2","guam","anao","L2","r","w","Araneae",0,2018-01-12,2018-01-15,3,"Arane"
"Guam_Anao_L2","guam","anao","L2","r","w","Isoptera",0,2018-01-12,2018-01-15,3,"Isopt"
"Guam_Anao_L2","guam","anao","L2","r","w","partial",0,2018-01-12,2018-01-15,3,"parti"
"Guam_Anao_L2","guam","anao","L2","r","w","Trichoptera",0,2018-01-12,2018-01-15,3,"Trich"
"Guam_Anao_L2","guam","anao","L2","r","w","other",0,2018-01-12,2018-01-15,3,"other"
"Guam_Anao_L2","guam","anao","L2","w","y","Hemiptera",0,2018-01-12,2018-01-15,3,"Hemip"
"Guam_Anao_L2","guam","anao","L2","w","y","Coleoptera",0,2018-01-12,2018-01-15,3,"Coleo"
"Guam_Anao_L2","guam","anao","L2","w","y","Apoidea",0,2018-01-12,2018-01-15,3,"Apoid"
"Guam_Anao_L2","guam","anao","L2","w","y","Lepidoptera",0,2018-01-12,2018-01-15,3,"Lepid"
"Guam_Anao_L2","guam","anao","L2","w","y","Blattodea",0,2018-01-12,2018-01-15,3,"Blatt"
"Guam_Anao_L2","guam","anao","L2","w","y","Araneae",0,2018-01-12,2018-01-15,3,"Arane"
"Guam_Anao_L2","guam","anao","L2","w","y","Isoptera",0,2018-01-12,2018-01-15,3,"Isopt"
"Guam_Anao_L2","guam","anao","L2","w","y","partial",0,2018-01-12,2018-01-15,3,"parti"
"Guam_Anao_L2","guam","anao","L2","w","y","Trichoptera",0,2018-01-12,2018-01-15,3,"Trich"
"Guam_Anao_L2","guam","anao","L2","w","y","other",0,2018-01-12,2018-01-15,3,"other"
"Guam_Anao_L2","guam","anao","L2","b","w","Diptera",0,2018-01-12,2018-01-15,3,"Dipte"
"Guam_Anao_L2","guam","anao","L2","b","w","Hemiptera",0,2018-01-12,2018-01-15,3,"Hemip"
"Guam_Anao_L2","guam","anao","L2","b","w","Coleoptera",0,2018-01-12,2018-01-15,3,"Coleo"
"Guam_Anao_L2","guam","anao","L2","b","w","Formicidae",0,2018-01-12,2018-01-15,3,"Formi"
"Guam_Anao_L2","guam","anao","L2","b","w","Apoidea",0,2018-01-12,2018-01-15,3,"Apoid"
"Guam_Anao_L2","guam","anao","L2","b","w","Crabronidae",0,2018-01-12,2018-01-15,3,"Crabr"
"Guam_Anao_L2","guam","anao","L2","b","w","Lepidoptera",0,2018-01-12,2018-01-15,3,"Lepid"
"Guam_Anao_L2","guam","anao","L2","b","w","Blattodea",0,2018-01-12,2018-01-15,3,"Blatt"
"Guam_Anao_L2","guam","anao","L2","b","w","Araneae",0,2018-01-12,2018-01-15,3,"Arane"
"Guam_Anao_L2","guam","anao","L2","b","w","Isoptera",0,2018-01-12,2018-01-15,3,"Isopt"
"Guam_Anao_L2","guam","anao","L2","b","w","partial",0,2018-01-12,2018-01-15,3,"parti"
"Guam_Anao_L2","guam","anao","L2","b","w","Trichoptera",0,2018-01-12,2018-01-15,3,"Trich"
"Guam_Anao_L2","guam","anao","L2","b","w","other",0,2018-01-12,2018-01-15,3,"other"
"Guam_Anao_L2","guam","anao","L2","y","b","Diptera",0,2018-01-12,2018-01-15,3,"Dipte"
"Guam_Anao_L2","guam","anao","L2","y","b","Hemiptera",0,2018-01-12,2018-01-15,3,"Hemip"
"Guam_Anao_L2","guam","anao","L2","y","b","Coleoptera",0,2018-01-12,2018-01-15,3,"Coleo"
"Guam_Anao_L2","guam","anao","L2","y","b","Formicidae",0,2018-01-12,2018-01-15,3,"Formi"
"Guam_Anao_L2","guam","anao","L2","y","b","Apoidea",0,2018-01-12,2018-01-15,3,"Apoid"
